Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
"Figure
4.4",-1,2018,"San Francisco, CA",Lending,"About Figure

At Figure, we're on a mission to transform financial services through blockchain, bringing speed, efficiency and savings to both consumers and institutions.

Accomplishing this kind of transformation requires building really big things. And we understand that building big requires a creative, team oriented and supportive environment where everyone can do their absolute best work. The Figure team is comprised of incredibly driven, innovative, collaborative and curious people who love architecting and building from scratch. Everyone at the company is encouraged to be an individual contributor but also a team collaborator.

We value team members who bring an entrepreneurial mindset to every task and will embrace our culture of innovation. Every day at Figure is a journey in continuous learning yet a daily focus on getting work done that makes a difference.

This is an opportunity to work with a team of proven leaders who have already created billions of dollars in value in the Fintech space. Join us!

About the Role

Each member of the Data team plays an integral part of what we are building at Figure. We rely on advanced techniques in machine learning, cloud platforms and big data to drive decisions across the organization. If you are interested in working with an impressive team of Data pros who collaborate and challenge each other, and want to solve interesting problems to propel the company's growth, apply now!

What You'll Do
Develop custom models and algorithms to apply to large datasets, as well as, processes for monitoring and analyzing their performance.
Mine and analyze data from different resources, and use predictive modeling to increase and optimize customer experiences, customer acquisition, underwriting and other business outcomes.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive business decisions.
Collaborate cross functionally to implement models and monitor outcomes.
What We Look For
PhD or MS in a quantitative field with 2+ years of work experience with extensive data sets
Strong problem solving skills with an emphasis on translating real-life problems into a concrete model development strategy. Blend academic rigor with a sense of pragmatism for rapidly prototyping and delivering solutions.
Experienced in using Python for analysis and modeling (TensorFlow is a big plus)
Experience applying a wide range of statistical techniques to large data sets, and understanding their real-world advantages/drawbacks.
Experience using web services (AWS, GCP), and distributed data/computing tools (Spark, Map/Reduce, Hadoop, Hive, etc.)
Excellent cross-functional communication skills.
Ability to thrive in a fast-paced environment.
Benefits To You
Competitive salary based on experience and skills
Firm-wide performance based bonus
Competitive stock options package as an early member of the team
A flexible paid time off and vacation policy
Comprehensive health, vision, dental insurance
Company FSA, 401k, commuter benefits
And much more to come!
Figure will not sponsor work visas for this position. In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification form upon hire.",Sr Data Scientist,"San Francisco, CA",4.4,Unknown / Non-Applicable,$127K-$199K (Glassdoor Est.),Finance,201 to 500 employees,Company - Private
"Faire
4.3",Shopify,2016,"San Francisco, CA",Wholesale,"Faire is using machine learning to change wholesale and help local retailers compete with Amazon and big box stores. Our experienced data scientists and machine learning engineers are tackling recommendations, ranking, search, logistics, underwriting, and more - all with the goal of helping local retail thrive.

Job Description

The Data Science team owns a wide variety of algorithms and models that power the marketplace. We care about building machine learning models that help our customers thrive. The data science team helps answer questions like; How do we underwrite retailers with thin files? How do we optimally assign term limits to Faire retailers? How to minimize the risk of defaults while maximizing the share of wallet growth driven by net terms? What data sources should we invest in to improve the performance of our credit models?

We're looking for someone who's comfortable working on the cutting edge of machine learning research. You're happy working autonomously and delivering results without micromanagement. You wake up ready to take a problem end-to-end, dive into the guts of our information-rich databases, and produce actionable insights. You can't wait to push the boundaries and discover the next big thing, then share it with your peers. You are, or will be, world-class in credit risk and help lead the wider data community. Faire will soon be known as a top destination for data scientists and machine learning, and you will help take us there!

You're excited about this role because
You'll be able to work on cutting edge credit underwriting problems combining a wide variety of data about our retailers, makers and products
You are passionate about solving problems in the FinTech space with innovative machine learning techniques and using alternate data sources for risk management
You want to use machine learning to help local retailers and independent makers succeed
You want to be a foundational member of a fast-growing company
Qualifications
3+ years of industry experience in developing, testing, and validating credit risk models in the financial services industry
Experience applying with either boosted trees models, decision trees, or other models to solve credit underwriting problems
Strong skills in statistics, probability, and/or machine learning
A track record of solving problems using data science. The tooling/language isn't important. (e.g., numpy, pandas, scikit-learn, R, etc.)
Experience with relational databases and SQL
Relentless resourcefulness and the ability to thrive in a startup -- you're willing to do what needs to be done for the success of your team
The ability to self-regulate and get stuff done with minimal direct supervision
Strong communication skills and the ability to work with others in a closely collaborative team environment.
Nice to have:
MSc or PhD in any mathematical or statistical subject, e.g.: mathematics, statistics, computer science, astrophysics, neuroscience, operations research, economics, any of the physical sciences
Experience with capital markets reporting and credit line management is a plus
What We Offer:
We're growing fast. You will get in on the ground floor of something that's going to be special.
We're funded by the best VCs in the world.
Our founding team is experienced and led the development of one of the top 25 apps in the US App Store (Square Cash).
Great technology stack. It's fun to work with the best tools and the latest software.
The business makes sense. It's straightforward, provides clear value to both retailers and makers. You get to help change an entire industry for the better.
It's beautiful. Work on something that's well-designed, following the footsteps of Apple and Square.
About Faire

Faire is an innovative online marketplace that uses machine learning to match local retailers with the makers of products that uniquely fit their stores. We are using the power of technology to connect makers and boutiques from all over the world, building a thriving community of over 50,000 small business owners.

Our mission is to empower entrepreneurs to chase their dreams. We believe entrepreneurship is a calling. It's a way of life that offers people a level of autonomy and fulfillment that's become difficult to find elsewhere in our economy. Most of our customers have left behind jobs they hated to take a chance on themselves. We want to make sure their boldness and self-belief gets rewarded.

This mission also extends to the way we are building the company. Every member of our team is an owner of the business and taking part in the founding process.

Faire is being built for entrepreneurs, by entrepreneurs.",Lead Data Scientist - Underwriting Algorithms,"San Francisco, CA",4.3,Unknown / Non-Applicable,$127K-$199K (Glassdoor Est.),Business Services,201 to 500 employees,Company - Private
"Vungle
3.7","AdColony, Unity, AppLovin",2011,"San Francisco, CA",Internet,"At Vungle, our Data Scientists build systems that enable real-time recommendations for billions of ad requests daily. Focusing specifically within the mobile app ecosystem, we leverage and combine Vungle's enormous and unique datasets to model conversion rates, bid prices, win rates, and contextually match our video-focused content across tens of thousands of apps. Working hand in hand with our Machine Learning Engineers, Data Scientists at Vungle not only train and evaluate models offline, but also contribute the production code that runs those models in real time. We constantly experiment with everything from custom implementations of the latest machine learning algorithms to off-the-shelf models and frameworks like Apache Spark, TensorFlow and scikit-learn.

This role requires a strong understanding of state-of-the-art techniques for machine learning, comfort with Big Data frameworks, and production-level programming skills. You will work cross-functionally with stakeholders from Engineering and Data Science. You will also have an opportunity to participate in building Vungle's patent portfolio.

What you'll do
Dive deep on ad recommendation modeling, including conversion rates, bid prices, win rates, and more; even tiny improvements have enormous impact due to our scale
Provide architectural guidance and collaboration with Product and Engineering leadership to shape Vungle's long-term product roadmap for Data Science
Be eager to apply your data science skills generally across a broad range of business and technical problems
Design and execute multivariate testing strategies to inform and improve effectiveness across a variety of user engagement metrics (click-through-rate, retention, etc)
Develop novel machine learning algorithms incorporating contextual, behavioral and biometric response data with an emphasis on creative composition and optimization
Manipulate and analyze large data sets, using a variety of tools and machine learning or statistical techniques
Develop models for sentiment/emotion evaluation/classification including NLP and deep learning approaches
You will make heavy use of Python for analysis
Technologies used: Python, SciPy ecosystem, Apache Spark, Keras/Tensorflow, AWS, SQL, Git
Explain statistical and machine learning concepts to both technical and non-technical audiences
Maintain awareness or relevant research and publications in the field
Requirements
PhD with 3+ years experience in quantitative discipline with solid grasp of applied probability and statistics, or MS with 6+ years of experience
Experience managing or mentoring Junior- and Senior- level Data Scientists
Strong production level skills applying machine learning to large scale data problems
3+ years' experience developing statistical models for production applications
3+ years' professional experience with at least one programming language, such as Python, Java, Scala (we primarily use Python)
Strong understanding of fundamental machine learning concepts and algorithms
Expert in SQL and comfortable with various SQL or noSQL databases, able to stitch together data from multiple sources
Expert in producing and communicating data visualizations and presentations in a professional environment for a range of audiences
Preferred
PhD or MS work specifically involved in the application of deep learning, machine learning and data science techniques
Prior experience with Spark or Hadoop
Experience with TensorFlow, SparkML and scikit-learn
About Vungle

Vungle is the trusted guide for growth and engagement, transforming how people discover and experience apps. Mobile application developers partner with Vungle to monetize their apps through innovative in-app ad experiences that are inspired by insight and crafted with creativity. Advertisers depend on Vungle to reach, acquire, and retain high-value users worldwide. Vungle develops tools that include data-led buying and UX recommendations, ad format innovation, creative automation, and more. Vungle's data-optimized ads run on over 1 billion unique devices to drive engagement and increase returns for publishers and advertisers ranging from indie studios to powerhouse brands, including Rovio, Zynga, Pandora, and Microsoft. The company is headquartered in San Francisco and has offices around the world in London, Berlin, Beijing, Tokyo, Seoul, and Singapore. For more information, visit www.vungle.com or follow the company on Twitter @Vungle

#LI-JH1",Staff Data Scientist,"San Francisco, CA",3.7,₹10 to ₹50 billion (INR),$127K-$199K (Glassdoor Est.),Information Technology,201 to 500 employees,Company - Private
"CareDx
2.6",Sequenom,-1,"Brisbane, CA",Biotech & Pharmaceuticals,"Headquartered in Brisbane, Calif., CareDx, Inc. is a leading precision medicine solutions company focused on the discovery, development and commercialization of clinically differentiated, high-value healthcare solutions for transplant patients and caregivers. CareDx offers products, testing services and digital healthcare solutions along the pre- and post-transplant patient journey, and is the leading provider of genomics-based information for transplant patients.

Data Scientist-Machine Learning

As a member of Data Sciences & Bioinformatics group you will be responsible for development of new machine/deep learning algorithms. The richness of a transplant data-lake a repository of large and complex data will provide the opportunity for implementation of these models. Individuals should have excellent working skills in multiple programming languages (R, Python) with demonstrated application development using TensorFlow/PyTorch. Additionally, a significant understanding of probabilistic and dynamic modelling in solving computational biology problems is highly desirable. Your contributions will be foundational to the companys mission of improving the lives of organ transplant patients.

Responsibilities:

Design, implement and support analytical data pipelines driven by TensorFlow/PyTorch
Implement predictive, generalized linear model, Bayesian Machine Learning, neural network as needed
Have excellent collaboration skills and be able to work with Software engineers for development of Data Lake
Qualifications:

Ph.D in Physics, Computational Biology, Computer Science, Math or Experimental biology with demonstrated Applied Math
5+ years experience developing and deploying scalable ML models computational biology applications are particularly desirable
Experience using TensorFlow,PyTorch, Keras, NumPy, Scipy, MLib and knowledge of ML libraries and platforms
Professional level understanding of Docker, GitHub
Ability to program against REST APIs is preferred
Expertise and experience with Data Lakes data and knowledge of ETL in this regard is highly desirable
Experience with HDFS, Apache Spark, Apache Kafka, OpenCV, Amazon EC2 is highly desirable
A self-driven approach with an ability and desire to communicate to a non-technical audience how complex systems work and can be applied to challenging data processing problems
A solid scientific foundation and familiarity with current literature
Additional Details:


Every individual at CareDx has a direct impact on our collective mission to improve the lives of organ transplant patients worldwide. We believe in taking great care of our people, so they take even greater care of our patients.

Our competitive Total Rewards package includes:
Competitive base salary and incentive compensation
Health and welfare benefits including a gym reimbursement program
401(k) savings plan match
Employee Stock Purchase Plan
Pre-tax commuter benefits
And more!
In addition, we have a Living Donor Employee Recovery Policy that allows up to 30 days of paid leave annually to a full-time employee who makes the selfless act of donating an organ or bone marrow.

With products that are making a difference in the lives of transplant patients today and a promising pipeline for the future, its an exciting time to be part of the CareDx team. Join us in partnering with transplant patients to transform our future together.

CareDx, Inc. is an Equal Opportunity Employer and participate in E-Verify program.
******* We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us.",Data Scientist - Machine Learning,"Brisbane, CA",2.6,Unknown / Non-Applicable,$127K-$199K (Glassdoor Est.),Biotech & Pharmaceuticals,1 to 50 employees,Company - Private
"Metromile
3.9",-1,2011,"San Francisco, CA",Insurance Operators,"About Us

On the off chance you've thought about insurance, it's likely because you've insured something you love, not because you loved your insurance company. Metromile is out to change that. As an insurtech powered by data science and customer centric-design, we're building a community of drivers who come for the savings and stay for the experience.

With technology at its core, Metromile is reimagining insurance to make it fairer and actually delightful. We're obsessed with savings, service, and features -- street sweeping alerts, monthly mileage summaries, fuel trackers and more -- that engage a customer all along their journey. We're on the forefront of disrupting a $250 billion auto insurance category that has gone unchanged for over 80 years.

Metromile's diverse team combines the best of Silicon Valley technologists with veterans from Fortune 500 insurers and financial services giants. This management structure ensures that the business is focused on growth, customer experience, and technology innovation while also balancing unit economics and profitability. Our customer service, claims, and sales teams are all based in-house in the US.

Named a Glassdoor Best Place to Work two years in a row.

About The Role

Metromile is seeking a Senior Data Scientist to work with partners from across our company to support and grow our business. Your modelling will draw on data from connected vehicles, third-party sources, and production pipelines to predict driving risk and better understand our customers. This understanding of risk and behavior is at the core of our insurance business.

If you are excited by the opportunity to explore diverse data sources and work on impactful projects central to our company's mission, then we'd love to hear from you.

You will
Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring
Improve our infrastructure for training and deploying machine learning models
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership.
Work with a diverse team of collaborative data scientists who enjoy technical discussions and learning new methodologies.
About You
2+ years experience building and deploying machine learning models in production
Degree in a quantitative field like statistics, economics, applied math, operations research, physics or engineering. Advanced degrees are preferred
Proficiency with SQL for writing efficient queries on large datasets
Proficiency with Python for statistical and numerical modeling
Strong oral and written communication skills, and ability to collaborate with cross-functional partners to build the business
Bonus Points
Your prior experience was within the fintech, insurtech, or autonomous vehicle space.
Experience with AWS/Spark
What's In It For You
Competitive salary plus equity
Robust benefit options (health, dental, vision, 401K)
Strong culture of communication and support in the current remote environment
Transportation and gym benefits
Remote social events (happy hour, trivia night)
Generous parental leave
Mac equipment and adjustable workstations
Metromile is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",Senior Data Scientist,"San Francisco, CA",3.9,Unknown / Non-Applicable,$127K-$199K (Glassdoor Est.),Insurance,201 to 500 employees,Company - Private
"Autodesk
4.0",-1,1982,"San Rafael, CA",Computer Hardware & Software,"Location: San Francisco, CA- United States
Job ID: 20WD40666

Position Overview
Autodesk is seeking a Senior Data Scientist to join our Data Platform & Insights organization. The organization is chartered with building innovative data products and analytics solutions for Autodesk’s strategy, product, marketing, sales and customer support teams. This critical data scientist role will help us make machine intelligence an integral part of how Autodesk makes decisions and designs and builds its products.

You will work alongside a product development team and apply data mining, analytics and machine learning methods to understanding how customers use, adopt and achieve successful outcomes with our products. The ideal candidate is a strong data scientist who thinks outside the box, is naturally curious, highly collaborative, and has a passion for tackling complex data-centric problems.

Responsibilities
Work on a variety of problems that seek to better understand how customers use their products and what drives deeper adoption and usage of products
Apply your quantitative analysis, data mining and machine learning expertise to building models that make sense of user needs, usage patterns, factors that drive deeper adoption and contribute to subscriber churn
Influence product development, strategy and roadmap prioritization
Design and implement machine learning pipelines that improve Autodesk’s evidence-based decision-making capabilities
Tackle complex problems requiring a creative mindset to find innovative and elegant solutions

Minimum Qualifications
BS/MS/PhD in the fields of: Mathematics, Physical Sciences, Statistics/Analytics, Computer Science, or other relevant fields
Experience working with relational SQL and/or NoSQL databases
Experience working with big data platforms (Hadoop, Spark, Hive)
Fluency with one or more programming language: Python, Java, Scala, etc.
Good understanding of CS fundamentals, e.g. algorithms and data structures
Experience in statistical programming tools such as R, Matlab, SAS, Python data science toolkits, etc.
Experience with data science toolkits like pandas, Jupyter, scikit, TensorFlow, etc.
Familiarity with Statistics concepts and analysis, e.g. hypothesis testing, regression, experimental design, etc.
Familiarity with Machine Learning techniques, e.g. classification, clustering, regularization, optimization, dimension reduction, etc.
Good communication skills and ability to explain complex topics to both technical and non-technical audience as well",Senior Data Scientist,"San Francisco, CA",4.0,₹100 to ₹500 billion (INR),$127K-$199K (Glassdoor Est.),Information Technology,5001 to 10000 employees,Company - Public
"Fullpower Technologies, Inc.
4.5",-1,2003,"Santa Cruz, CA",Computer Hardware & Software,"Fullpower® designs, develops and operates a complete platform for hybrid Edge/Cloud AI, algorithms, big data, predictive analytics, together with end-to-end engineering services. The Company’s platform is backed by a patent portfolio of 125+ patents. The Company’s key areas of expertise are bio-sensing, non-invasive PSG-level sleep technology. The Company’s markets are in Medical Solutions, Clinical Trials, SmartHome and Wearable. Fast growing with endless opportunities, come join the Fullpower world-class team.

Fullpower is looking for a passionate, team-oriented, and self-motivated Data Scientist/Applied Mathematician.

Responsibilities:
Work with health data and time-series sensor data
Design machine learning and statistical models and inference algorithms
Develop visualizations and tools for understanding and annotating data
Optimize algorithms for running on embedded devices and in the cloud
Collaborate with an interdisciplinary team of scientists, engineers, mathematicians for quick deployment of solutions
Software skills:
Expertise in Python and packages such as Pandas, Scikit-learn, etc.
Experience working with databases including familiarity with SQL
Experience with a deep learning framework such as Tensorflow, pyTorch, or equivalent
Experience with Amazon Web Services (AWS) or Google Cloud is a plus
Leadership qualities:
Self starter
Strong interpersonal and communication skills
Education:
Bachelor’s degree or higher in Mathematics, Statistics, Physics, Computer Science, or equivalent
Experience:
Experience applying data science and machine learning to real-world problems
Other requirements:
Fullpower does not sponsor work visas - must already be authorized to work in the United States",Data Scientist / Applied Mathematician,"Santa Cruz, CA",4.5,₹1 to ₹5 billion (INR),$127K-$199K (Glassdoor Est.),Information Technology,51 to 200 employees,Company - Private
"Confluent
4.7",-1,2014,"Mountain View, CA",Computer Hardware & Software,"Dubbed an ""open-source unicorn"" by Forbes, Confluent is the fastest-growing enterprise subscription company our investors have ever seen. And how are we growing so fast? By pioneering a new technology category with an event streaming platform, which enables companies to leverage their data as a continually updating stream of events, not as static snapshots. This innovation has led Coatue Management, Altimeter Capital and Franklin Templeton to join earlier investors Sequoia Capital, Benchmark, and Index Ventures in the recent Series E financing of a combined $250 million at a $4.5B valuation. Our product has been adopted by Fortune 100 customers across all industries, and we’re being led by the best in the space—our founders were the original creators of Apache Kafka®. We’re looking for talented and amazing team players who want to accelerate our growth, while doing some of the best work of their careers. Join us as we build the next transformative technology platform!

The mission of Data Science team at Confluent is to serve as the central nervous system of all things data for the company: we build analytics infrastructures, metrics, insights, and models, to empower data-driven thinking, and optimize every part of the business. There are limitless opportunities for an ambitious data scientist to make an immediate and meaningful impact within a hyper growth start-up.

We are now looking for a talented and driven individual to accelerate data science efforts and boost our Product and Sales trajectory. This person will work closely with our C-suite executives and operation teams to develop and deliver actionable recommendations to drive better and faster decisions. Successful candidates will exhibit technical acumen and business savvy, with a passion for making an impact, through creative storytelling and timely actions.
Responsibilities:
Build and maintain data foundations, metrics and dashboards to monitor the performance of our business in every function, and extract actionable insights
Apply quantitative analysis, data mining, and presentation of data to fuel business growth and drive customer success
Design and analyze experiments to test new product ideas; Convert the results into actionable recommendations
Build data products to improve operational efficiencies organizationally to scale with a hyper growth start-up
Inform, influence, support, and execute business decisions with senior leadership and business partners

What We're Looking For:

5+ years relevant industry experience working with SQL (Teradata, Oracle, MySQL, etc.) and R (or Python)
3+ years experience in applying statistical modeling and/or machine learning
Proficiency in data visualization (eg. Tableau, R-shiny, Python, Metabase, Looker, Matlab, etc.)
Bachelor or advanced degree in a quantitative discipline: statistics, operations research, computer science, informatics, engineering, applied mathematics, economics, etc.
The ability to communicate cross-functionally, derive requirements and deliver insightful analysis and/or models; ability to synthesize, simplify and explain complex problems to different types of audiences, including executives

What Give You An Edge:

7+ years relevant industry experience
Experience building data warehousing and ETL pipelines
Experience with Unix/Linux environment, Git.
Experience in developing data apps with Python/Java, high charts, etc.
Excellent communication skills, with the ability to synthesize, simplify and explain complex problems to different types of audiences, including executives
Experience working with B2B data science domain: product analytics, CRM, sales effectiveness, propensity score,, segmentation, web analytics, attribution, funnel optimization, etc.
#LI-MT1

Come As You Are

At Confluent, equality is a core tenet of our culture. We are committed to building an inclusive global team that represents a variety of backgrounds, perspectives, beliefs, and experiences. The more diverse we are, the richer our community and the broader our impact.

Click here to review our California Candidate Privacy Notice, which describes how and when Confluent, Inc., and its group companies, collects, uses, and shares certain personal information of California job applicants and prospective employees.",Data Scientist - Product and Sales,"Mountain View, CA",4.7,₹10 to ₹50 billion (INR),$127K-$199K (Glassdoor Est.),Information Technology,501 to 1000 employees,Company - Private
"Roche
4.1","Novartis, AstraZeneca, Siemens Healthineers",1896,"Basel, Switzerland",Biotech & Pharmaceuticals,"Roche Diagnostics has built a new strategic area – Diagnostics Information Solutions (DIS) - charged with creating a modern portfolio of decision support software products that change the way patients are cared for. Our challenge is to bring together complex diagnostic and treatment data from medical devices and IT systems within a hospital and intelligently process and present this data to clinicians, researchers, and caregivers to improve research outcomes and patient care.

As a Senior Principal Data Scientist within the Data Science & Services (DSS) team at DIS, you are responsible for conceptualizing, planning and executing advanced analytics projects to discover key insights improving NAVIFY product portfolio leading to better and more efficient patient care. In close cooperation with other more Scientists you will design and execute advanced analytics projects building on a wide range of commercial and research datasets containing deep medical information.

As a Senior Principal Data Scientist, you will also ensure that design, execution, and presentation of analytical results are adhering to industry standards and potentially improve and redefine current industry standards. You will rely on your oncology expertise, advanced analytical skills, and your ability to interact with cross-functional experts such as biostatisticians, clinical scientists and oncologists, to discover novel insights demonstrating impact of various treatment decisions, and uncover key elements leading to best outcomes for patients. In addition, you will maintain and expand knowledge of available healthcare data sources and applicable state-of-the- art analytical methodologies, large scale data processing and visualization, and languages and tools (R, Python, (no-)SQL, Hadoop, Spark, etc.).

Responsibilities Include:
Drive data science and analytical software development teams; develop solutions to support insight generation facilitating successful development, verification and commercialization of diagnostics services and products.
Contribute to broad product support initiatives, lead and deliver on complex projects, and interact with external partners without supervision.
Maintain and expand knowledge and access to available and meaningful data sources within/outside Roche, and their application to NAVIFY customer needs.
Perform high quality, timely and accurate analyses using most relevant state-of-the-art methodologies, tools and resources.
Committed to offering innovation, finding opportunities to enhance ways of working (including processes, methods, technology etc.) and sharing new techniques and lessons learned pro-actively with peers.
Use and continue to foster strong working relationships with global colleagues and customers and builds a strong network in order to jointly explore vendor relationships, data assets, analytical methodologies and toolsets.
Build and maintain partnerships with other data scientists and analysts, biostatistics, medical and business leaders, and other key functional experts.
Responsible for planning and timely delivery of assigned projects.
Drive creation of best practices to other team members. Proactively share learnings/experience with colleagues both internal and external to the function.
Act as a positive role model for peers and help coach colleagues to improve in their role with both technical and interpersonal skills.
Influence as thought leader in your industry and an influential subject matter expert to your team members and the businesses you support.
Leverage strategic organizational awareness and systems mindset to implement sustainable, science based practices.
Who you are:
Data savvy creative thinker, problem solver and mentor.
Reliable team player, strong collaborator with ability to influence and a thought partner/leader. Organizationally savvy, systems thinker.
Excellent communication skills, effective stakeholder management ability. Life learner, constructive at giving and receiving feedback.
Strong solution finding, resiliency and a sense of ownership; Effective prioritization skills, attention to detail and accuracy; Adaptable, embraces and endorses change.
Minimum Skills and Experience:
Master’s degree (PhD strongly preferred) in a Data Science or related field (e.g. Computer Science, Statistics, Mathematics, Bioinformatics, etc.) required plus 16 years of experience; or PhD and 12 years of experience.
Graduate training or experience in biological/medical field is highly preferred.
Strong background in Oncology, either by education or professional experience.
Strong Programming experience with R, Python, and/or other quantitative software.
Strong experience in applying statistical modeling, machine learning, exploratory, and confirmatory data analysis in mid to large volume biomedical data sets.
Experience using big data platforms such as Hadoop (Spark is a plus).
In-depth knowledge of relational database principles and corresponding query language skills (e.g. SQL) is of interest.
Familiarity with regulatory framework and guidelines for pharma/diagnostics products is a plus.
Good knowledge of English in a business environment.
Excellent communication skills with an ability to negotiate successfully; strong influencing skills; self-contained and outgoing approach.
Strong solution finding, prioritization and attention to details skills while embracing/endorsing change.
Roche is an equal opportunity employer.

Research & Development, Research & Development > Modelling & Simulation",Senior Principal Data Scientist (Python/R),"Pleasanton, CA",4.1,₹500+ billion (INR),$127K-$199K (Glassdoor Est.),Biotech & Pharmaceuticals,10000+ employees,Company - Public
"GovTech
3.7",-1,2016,"Singapore, Singapore",Government Agencies,"We are looking for Data Scientists who are interested in using data to draw insights that will result in policy changes or business process optimisation, benefiting the public. The applicant will be scoping projects with stakeholders, using data sets across Government Agencies, applying business acumen to tease out relevant impactful insights, and presenting insights in a clear, concise manner by using appropriate visualisations.

He/she should have some training and working experiences on data analytics, and should be comfortable with hands-on data manipulation, data modelling and data visualisation. He/she should also be comfortable with engaging stakeholders on sharpening their business problems.

The analytics work that we do are typically action oriented and cross-cutting across various domains such as social, economic and infrastructure sectors. Over time, he/she will gain exposure to various policy and ops domains and become more adept in bridging between business users and technical expertise.

What to Expect:
Work closely with stakeholders to understand their business challenges, scope the problem and develop business case on how to turn data into critical information and knowledge that are actionable and impactful,.
Perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis. Apply appropriate visualisation techniques to communicate the insight effectively. Iterate with the stakeholders to perform subsequent deep dives based on the initial insights.
Depending on the use case, design of dashboards and interactive visualisations as tools for data exploration and storytelling may be expected.
Potentially deployed to other Government Agencies to be their resident Data Scientist. This will involve formulating and implementing strategies to build strong pipeline of impactful projects at the Agency and executing these projects.
How to Succeed:

Bachelor Degree in Computer Science, Statistics, Economics, Quantitative Social Science, or related degrees. Advanced degrees preferred. We will also factor in relevant certifications (e.g., Coursera)
Minimum 2 years of relevant working experience, preferably in public sector or data science field
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Understand key concepts, techniques and considerations in machine learning and data analytics
Training and relevant experience in one or more of the following areas:
Data science tools such as R, Python
Visual analytics technologies like Tableau, Qlik
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders
Strong analytical, conceptualisation and problem solving skills
Team player with strong organization and people handling skills
Passion for the use of analytics and data to improve Public Service",Data Scientist,"San Francisco, CA",3.7,Unknown / Non-Applicable,$127K-$199K (Glassdoor Est.),Government,1001 to 5000 employees,Government
